age,sex,race,realrinc,educ,hrs1,marital,bible,childs,paeduc,maeduc,degree
57,1,1,NA,12,NA,1,1,2,12,12,0
50,1,1,NA,16,40,1,3,0,NA,12,1
25,0,3,NA,12,NA,5,2,0,11,12,0
75,1,1,NA,14,NA,3,3,2,NA,12,0
46,1,1,54480,14,54,1,1,2,12,NA,0
77,0,1,NA,10,NA,3,2,2,NA,NA,0
18,0,2,NA,11,NA,5,3,0,NA,12,0
62,0,1,NA,12,NA,1,1,1,12,12,0
30,0,1,8512.5,15,30,1,2,2,NA,NA,0
70,0,3,NA,7,NA,2,1,1,0,10,0
50,1,1,2497,3,40,1,2,1,2,4,0
44,0,3,NA,12,NA,4,1,5,NA,0,0
33,0,1,17025,12,45,1,1,1,6,6,0
34,0,1,37455,19,35,1,2,2,12,13,1
46,0,1,NA,16,8,1,3,2,8,12,1
51,1,1,NA,12,30,1,2,3,0,0,0
28,1,2,17025,14,40,5,1,0,14,NA,0
74,1,3,4086,16,16,3,3,5,6,12,1
29,0,1,5107.5,15,30,5,3,2,NA,14,0
49,1,3,8512.5,11,NA,1,1,8,5,5,0
28,0,1,17025,17,20,5,2,0,14,20,1
48,0,1,NA,12,NA,4,2,4,10,12,0
24,0,1,NA,12,25,5,1,1,4,12,0
51,0,3,4086,15,70,3,2,1,NA,8,0
42,0,1,30645,16,40,3,2,2,12,12,1
44,1,2,NA,17,60,1,1,3,20,16,1
33,0,1,NA,12,NA,1,2,0,NA,14,0
29,1,1,17025,12,40,1,3,0,12,16,0
48,0,1,37455,17,50,1,3,0,16,14,1
62,0,1,14755,10,40,2,1,4,12,6,0
88,0,1,NA,12,NA,2,1,4,10,17,0
65,1,1,37455,18,NA,1,2,4,14,14,1
28,0,1,NA,13,NA,1,2,0,NA,14,0
58,0,1,17025,14,40,1,1,3,12,14,0
26,1,1,20430,13,45,5,1,2,9,12,0
61,0,1,12485,13,40,1,1,3,12,13,0
30,0,1,17025,13,40,1,2,3,NA,4,0
22,0,1,NA,14,15,5,4,0,20,NA,0
24,0,3,NA,12,40,5,2,0,12,12,0
29,1,3,20430,12,40,5,1,2,NA,5,0
70,1,1,NA,13,NA,2,1,1,7,14,0
34,1,1,NA,16,NA,5,3,0,NA,10,1
66,1,1,NA,12,NA,1,3,0,14,12,0
84,0,1,NA,12,NA,3,3,2,NA,NA,0
37,1,1,151050.72136000003,16,60,1,3,2,16,16,1
61,0,1,2951,14,NA,3,1,3,12,12,0
58,0,2,NA,12,NA,5,1,7,NA,12,0
88,1,2,NA,10,NA,3,1,6,NA,12,0
80,0,3,NA,1,NA,4,3,8,0,1,0
36,1,3,14755,12,48,5,2,1,12,12,0
33,0,1,NA,16,40,5,2,0,12,12,1
81,1,1,NA,16,NA,2,2,7,8,6,1
31,1,3,30645,12,40,1,2,3,8,8,0
69,0,1,NA,16,NA,1,2,3,16,12,1
26,1,1,6242.5,16,38,5,3,0,19,16,1
45,1,1,30645,16,70,1,2,0,12,19,1
54,0,1,NA,16,30,1,2,1,12,12,1
61,0,1,14755,16,NA,1,2,2,12,12,1
19,1,1,NA,13,NA,5,3,0,18,18,0
58,1,1,37455,16,42,4,3,2,6,0,1
50,0,1,37455,14,40,3,1,1,4,4,0
36,1,2,30645,16,40,5,2,0,12,14,1
27,0,1,17025,12,40,5,2,1,NA,5,0
51,1,3,20430,12,50,5,3,0,5,6,0
48,1,1,NA,18,50,1,2,2,6,2,1
29,0,1,8512.5,14,40,5,2,2,4,12,0
65,0,1,6242.5,19,35,3,2,3,16,13,1
67,0,1,24970,16,NA,5,2,0,16,16,1
53,1,1,45400,16,70,1,2,1,13,12,1
45,1,1,151050.72136000003,18,55,1,2,2,18,18,1
36,0,1,6242.5,15,25,3,3,1,12,12,0
60,1,1,45400,12,40,1,3,1,12,12,0
63,0,2,24970,16,40,1,2,3,10,12,1
52,0,1,30645,12,55,3,1,1,14,12,0
34,1,1,17025,13,40,1,3,3,14,18,0
58,1,1,17025,14,52,1,2,0,12,12,0
63,1,1,54480,12,NA,1,3,1,12,12,0
71,0,1,NA,16,NA,3,3,0,12,8,1
67,0,1,NA,12,NA,1,1,2,12,12,0
65,0,1,63560,18,NA,3,2,3,12,16,1
39,0,1,20430,15,40,5,2,1,NA,13,0
46,0,1,NA,12,44,4,1,3,12,13,0
83,0,1,NA,12,NA,2,2,4,NA,10,0
59,1,1,54480,17,45,3,2,1,12,12,1
63,0,1,NA,19,30,1,2,1,16,12,1
38,0,1,20430,12,40,5,3,2,NA,11,0
50,1,1,20430,12,40,3,2,2,12,12,0
18,0,1,NA,11,NA,5,2,0,NA,6,0
45,0,1,24970,16,40,1,3,3,12,11,1
18,0,1,NA,11,NA,5,2,0,NA,18,0
39,1,2,NA,20,NA,5,2,0,20,20,1
31,0,1,30645,20,37,5,2,0,20,20,1
44,0,2,37455,16,40,5,2,1,12,12,1
46,0,2,30645,16,40,1,1,1,12,11,1
56,0,1,14755,13,NA,1,1,2,14,12,0
37,1,1,37455,12,40,1,2,2,12,12,0
52,0,1,54480,20,40,3,2,1,12,14,1
69,1,1,2043,14,6,1,1,3,7,7,0
34,1,3,24970,12,60,4,2,2,8,NA,0
25,1,1,NA,17,40,5,2,0,20,16,1
33,1,3,NA,8,40,5,1,0,NA,0,0
45,0,1,10782.5,12,45,3,2,2,12,12,0
57,1,1,151050.72136000003,16,NA,1,2,3,12,12,1
77,1,1,NA,14,NA,3,3,3,14,12,0
29,1,3,45400,16,40,5,2,3,16,16,1
58,1,1,151050.72136000003,18,45,2,3,0,NA,12,1
42,1,1,54480,20,40,1,3,2,18,16,1
65,1,1,24970,13,35,3,3,0,12,12,0
25,0,2,14755,16,45,5,1,0,12,12,1
76,1,1,NA,19,NA,1,1,8,17,12,1
73,0,2,NA,12,NA,2,3,5,NA,12,0
34,0,1,37455,20,35,1,1,5,20,16,1
51,1,2,30645,12,70,1,2,2,NA,12,0
78,0,1,NA,14,NA,1,2,3,NA,12,0
53,1,2,4086,12,30,1,1,3,NA,12,0
83,1,2,NA,11,NA,1,2,7,NA,NA,0
58,0,2,NA,7,NA,5,1,1,NA,11,0
73,1,2,NA,12,NA,2,2,4,NA,NA,0
83,0,1,NA,10,NA,2,1,4,NA,8,0
86,1,2,NA,12,NA,4,3,8,NA,NA,0
70,0,3,NA,14,NA,2,3,0,NA,NA,0
31,0,2,NA,17,NA,5,2,0,NA,12,1
24,0,2,2043,16,NA,5,2,0,NA,16,1
42,1,1,8512.5,14,45,5,3,0,20,16,0
34,0,1,54480,16,40,1,3,0,18,16,1
70,0,1,NA,19,NA,3,3,3,14,6,1
37,0,1,17025,12,NA,5,2,2,NA,14,0
70,1,1,30645,18,NA,1,1,2,14,12,1
71,1,1,NA,12,NA,1,2,2,5,10,0
26,0,1,17025,16,60,5,3,0,16,16,1
54,1,1,151050.72136000003,16,60,1,3,4,16,16,1
40,0,1,63560,16,40,1,2,2,16,18,1
56,0,1,151050.72136000003,16,50,3,2,0,15,NA,1
60,1,1,63560,20,40,2,2,3,14,14,1
72,1,1,1589,16,NA,1,3,0,15,16,1
35,0,2,63560,16,40,1,2,2,14,16,1
55,1,1,151050.72136000003,18,40,1,1,4,NA,18,1
28,0,2,12485,14,NA,1,1,3,16,16,0
77,0,1,NA,13,NA,3,1,5,NA,12,0
30,0,2,17025,12,40,5,2,2,NA,12,0
67,0,1,NA,12,NA,2,1,3,5,7,0
53,0,2,NA,12,NA,5,1,0,NA,15,0
37,0,2,227,15,NA,1,1,4,NA,16,0
51,0,2,151050.72136000003,14,40,1,2,1,14,14,1
35,0,2,5107.5,12,NA,1,1,8,NA,11,0
60,0,1,NA,20,NA,1,2,2,16,20,1
68,1,3,54480,16,NA,1,3,1,17,15,1
43,1,1,54480,20,45,1,2,2,13,16,1
36,0,3,NA,12,NA,1,2,6,12,10,0
34,0,2,4086,9,37,5,1,2,NA,NA,0
39,1,2,45400,18,40,1,1,3,10,6,1
52,1,1,37455,14,60,5,2,1,12,10,0
70,1,1,24970,12,60,4,2,0,12,12,0
60,1,1,NA,12,NA,1,1,4,12,12,0
61,0,1,NA,13,NA,1,1,2,12,12,0
32,0,1,NA,14,10,1,1,2,12,12,0
40,0,1,14755,16,30,4,2,3,NA,12,1
44,1,1,37455,17,45,3,2,2,14,12,0
67,0,2,NA,6,NA,3,2,1,5,6,0
70,0,1,63560,16,40,5,3,0,14,14,1
27,0,1,37455,16,45,5,2,0,16,16,1
30,0,1,45400,18,55,1,3,0,16,16,1
61,1,1,151050.72136000003,16,40,1,2,2,9,9,0
30,1,1,151050.72136000003,16,60,5,2,0,18,20,1
38,1,1,45400,16,52,1,3,0,16,12,1
27,0,1,37455,16,40,5,3,0,NA,16,1
67,0,1,NA,15,NA,1,1,4,8,8,0
45,1,1,14755,16,40,4,3,2,14,16,1
68,0,1,24970,14,NA,1,2,0,12,12,0
18,0,1,2497,14,60,5,2,0,NA,16,0
77,0,1,NA,14,NA,2,2,2,NA,12,0
78,0,1,NA,16,NA,2,3,3,15,12,1
61,0,1,NA,16,NA,1,3,2,16,16,1
72,1,1,227,12,20,1,2,2,12,12,0
89,0,1,NA,12,NA,2,NA,5,NA,0,0
75,0,1,NA,19,NA,2,2,3,NA,16,1
48,1,3,17025,15,15,1,3,1,12,12,1
